genre,sentence1_id,sentence2_id,filename,year,id,score,sentence1,sentence2,url1,url2,dev_train_or_test
main-captions,1,2,MSRvid,2012test,0,5.0,A man with a hard hat is dancing.,A man wearing a hard hat is dancing.,,,dev
main-captions,11,12,MSRvid,2012test,2,4.75,A young child is riding a horse.,A child is riding a horse.,,,dev
main-captions,21,22,MSRvid,2012test,3,5.0,A man is feeding a mouse to a snake.,The man is feeding a mouse to the snake.,,,dev
main-captions,31,32,MSRvid,2012test,7,2.4,A woman is playing the guitar.,A man is playing guitar.,,,dev
main-captions,41,42,MSRvid,2012test,8,2.75,A woman is playing the flute.,A man is playing a flute.,,,dev
main-captions,51,52,MSRvid,2012test,10,2.615,A woman is cutting an onion.,A man is cutting onions.,,,dev
main-captions,61,62,MSRvid,2012test,15,5.0,A man is erasing a chalk board.,The man is erasing the chalk board.,,,dev
main-captions,71,72,MSRvid,2012test,23,2.333,A woman is carrying a boy.,A woman is carrying her baby.,,,dev
main-captions,81,82,MSRvid,2012test,27,3.75,Three men are playing guitars.,Three men are on stage playing guitars.,,,dev
main-captions,91,92,MSRvid,2012test,36,5.0,A woman peels a potato.,A woman is peeling a potato.,,,dev
main-captions,101,102,MSRvid,2012test,37,3.2,People are playing cricket.,Men are playing cricket.,,,dev
main-captions,111,112,MSRvid,2012test,39,1.583,A man is playing a guitar.,A man is playing a flute.,,,dev
main-captions,121,122,MSRvid,2012test,41,5.0,The cougar is chasing the bear.,A cougar is chasing a bear.,,,dev
main-captions,131,132,MSRvid,2012test,43,5.0,The man cut down a tree with an axe.,A man chops down a tree with an axe.,,,dev
main-captions,141,142,MSRvid,2012test,49,4.909,The man is playing the guitar.,A man is playing a guitar.,,,dev
main-captions,151,152,MSRvid,2012test,51,0.8,A man is finding something.,A woman is slicing something.,,,dev
main-captions,161,162,MSRvid,2012test,60,2.4,The girl sang into a microphone.,The lady sang into the microphone.,,,dev
main-captions,171,172,MSRvid,2012test,67,5.0,A man is climbing a rope.,A man climbs a rope.,,,dev
main-captions,181,182,MSRvid,2012test,79,4.0,Kittens are eating food.,Kittens are eating from dishes.,,,dev
main-captions,191,192,MSRvid,2012test,88,0.636,A man is speaking.,A man is spitting.,,,dev
main-captions,201,202,MSRvid,2012test,91,3.0,A woman is cooking eggs.,A woman is cooking something.,,,dev
main-captions,211,212,MSRvid,2012test,97,1.714,A man is playing a guitar.,A man is playing a trumpet.,,,dev
main-captions,221,222,MSRvid,2012test,98,3.2,An animal is chewing on something.,An animal is chewing on a key chain.,,,dev
main-captions,231,232,MSRvid,2012test,122,2.167,A man is playing a flute.,A man is playing guitar.,,,dev
main-captions,241,242,MSRvid,2012test,140,1.0,A man is playing soccer.,A man is playing flute.,,,dev
main-captions,251,252,MSRvid,2012test,147,1.917,A girl is riding a horse.,A girl is riding a bicycle.,,,dev
main-captions,261,262,MSRvid,2012test,153,4.25,A man is lifting weights in a garage.,A man is lifting weights.,,,dev
main-captions,271,272,MSRvid,2012test,159,3.0,An animal is biting a persons finger.,A slow loris is biting a persons finger.,,,dev
main-captions,281,282,MSRvid,2012test,173,1.0,A woman is reading.,A woman is kneading dough.,,,dev
main-captions,291,292,MSRvid,2012test,177,0.6,A man is crying.,A woman is dancing.,,,dev
main-captions,301,302,MSRvid,2012test,186,2.6,The lady cracked an egg into a bowl.,The man is cracking eggs into a bowl.,,,dev
main-captions,311,312,MSRvid,2012test,189,5.0,A band is performing on a stage.,A band is playing onstage.,,,dev
main-captions,321,322,MSRvid,2012test,194,4.6,Elephants are walking down a trail.,A herd of elephants are walking along a trail.,,,dev
main-captions,331,332,MSRvid,2012test,206,5.0,A man is playing a guitar.,A man plays the guitar.,,,dev
main-captions,341,342,MSRvid,2012test,211,4.8,A man sitting on the floor plays a guitar.,A man sitting on the floor in a room is strumming a guitar.,,,dev
main-captions,351,352,MSRvid,2012test,213,3.8,A puppy plays with a plastic container.,The dog is playing with a plastic container.,,,dev
main-captions,361,362,MSRvid,2012test,218,5.0,A man plays the violin.,A man is playing violin.,,,dev
main-captions,371,372,MSRvid,2012test,219,5.0,A man plays the piano.,A man is playing a piano.,,,dev
main-captions,381,382,MSRvid,2012test,220,4.2,A man is eating food.,A man is eating something.,,,dev
main-captions,391,392,MSRvid,2012test,222,1.4,A man is playing a basketball.,A man is playing a piano.,,,dev
main-captions,401,402,MSRvid,2012test,225,3.6,A toddler walks down a hallway.,A little girl is walking down a hallway.,,,dev
main-captions,411,412,MSRvid,2012test,228,2.8,A plane is landing.,A animated airplane is landing.,,,dev
main-captions,421,422,MSRvid,2012test,236,1.6,A panda is climbing.,A man is climbing a rope.,,,dev
main-captions,431,432,MSRvid,2012test,255,3.0,Kids are dancing on stage.,Some people are dancing on stage.,,,dev
