id,sentence
1,A man with a hard hat is dancing.
11,A young child is riding a horse.
21,A man is feeding a mouse to a snake.
31,A woman is playing the guitar.
41,A woman is playing the flute.
51,A woman is cutting an onion.
61,A man is erasing a chalk board.
71,A woman is carrying a boy.
81,Three men are playing guitars.
91,A woman peels a potato.
101,People are playing cricket.
111,A man is playing a guitar.
121,The cougar is chasing the bear.
131,The man cut down a tree with an axe.
141,The man is playing the guitar.
151,A man is finding something.
161,The girl sang into a microphone.
171,A man is climbing a rope.
181,Kittens are eating food.
191,A man is speaking.
201,A woman is cooking eggs.
211,A man is playing a guitar.
221,An animal is chewing on something.
231,A man is playing a flute.
241,A man is playing soccer.
251,A girl is riding a horse.
261,A man is lifting weights in a garage.
271,An animal is biting a persons finger.
281,A woman is reading.
291,A man is crying.
301,The lady cracked an egg into a bowl.
311,A band is performing on a stage.
321,Elephants are walking down a trail.
331,A man is playing a guitar.
341,A man sitting on the floor plays a guitar.
351,A puppy plays with a plastic container.
361,A man plays the violin.
371,A man plays the piano.
381,A man is eating food.
391,A man is playing a basketball.
401,A toddler walks down a hallway.
411,A plane is landing.
421,A panda is climbing.
431,Kids are dancing on stage.
441,A man plays a guitar.
451,A woman is slicing a meat.
461,A woman is taking a picture.
471,The man is riding a horse.
481,A man is drilling a hole in a board.
491,A man is fitting silencer on a pistol.
501,Two little girls are talking on the phone.
511,Someone is stirring chili in a kettle.
521,The woman is cracking eggs into a bowl.
531,A woman puts flour on a piece of meat.
541,A man is talking on a phone.
551,A man is playing an electronic keyboard.
561,A man is playing a guitar.
571,A man is jumping into water.
581,A man is playing a guitar.
591,A young man is playing the piano.
601,A woman is mixing ingrediants.
611,Someone is shredding cabbage leaves with a knife.
621,A slow lori walks around.
631,A little boy is vacuuming the floor.
641,A woman is applying eye liner to her eyelid using an eye pencil.
651,A man is making a bed.
661,A man plays a keyboard.
671,A rabbit is playing with a toy rabbit.
681,A plane rides on a road.
691,A man shoots a man.
701,A man plays the guitar.
711,A guy is playing hackysack
721,One man is breaking cement on another man's chest.
731,A man is talking with other women on the beach.
741,The woman is dicing onions.
751,A chef is preparing some food.
761,The man talked to a girl over the internet camera.
771,A turtle walks over the ground.
781,The lady cracked an egg for the mixer.
791,Five kittens are eating out of five dishes.
801,A woman is slicing some tuna.
811,A man playing the guitar.
821,A man is playing a flute.
831,A baby rhino is walking around his pen with his mother.
841,The man used a sword to slice a plastic bottle.
851,A man is cleaning a fish on a kitchen counter.
861,A person is chopping coriander leaves.
871,A man is pressing microwave buttons.
881,A girl is riding a horse.
891,Batman and Robin fly a helicopter over water.
901,A woman pours oil into a skillet from a plastic bottle while she is talking.
911,A woman is cutting some herbs.
921,The lady put the skewered shimp in the hot water.
931,A woman is riding on a horse.
941,The boy is playing the piano.
951,The cook is kneading the flour.
961,A woman is riding a horse along a perimeter.
971,A woman is putting her baby in a waste bin.
981,A cat is pouncing on a trampoline.
991,A man and woman are eating at a table.
1001,A woman is riding on a horse.
1011,A man is screwing wood to a wall.
1021,A girl is playing a flute.
1031,A small baby is playing a guitar.
1041,A woman is chopping onion.
1051,A man and a woman walk through the woods.
1061,A child is playing a computer game.
1071,Men are jumping into water from a bridge.
1081,A woman is peeling some fish.
1091,People are playing baseball.
1101,A person is boiling soup.
1111,A woman is dancing.
1121,A ballet dancer is performing on stage.
1131,A man shoots a basket.
1141,The elephants are bathing.
1151,The man cut up an onion.
1161,A woman puts cosmetics on her eyelid.
1171,A woman and man are riding in a car.
1181,A girl is dancing in a cage.
1191,A cat is on a robot.
1201,The lady stirred up raw eggs in the bowl.
1211,A cow is eating grass.
1221,The man stirred the sauce for the chicken.
1231,A man jumping rope
1241,A woman is peeling an orange.
1251,Someone is beating an egg.
1261,A man is cutting a potato.
1271,A man is buttering a piece of bread.
1281,A woman cuts up some vegetables.
1291,The lady cut the tail and body of a shrimp.
1301,A man plays an acoustic guitar.
1311,A person is peeling shrimp.
1321,A woman is cutting broccoli.
1331,A small dog laying on the bed.
1341,The man is slicing a potato.
1351,The man is slicing a potato.
1361,A person is peeling shrimp.
1371,A woman is putting on sun glasses.
1381,A woman is slicing a potato.
1391,Women are running.
1401,A man is playing a harp.
1411,A man dives into a pool.
1421,The man is smashing garlic.
1431,A man is cutting up a potato.
1441,A man is slicing an onion.
1451,A man is dancing.
1461,A man is running.
1471,The man is hiking in the woods.
1481,A man is playing a flute.
1491,A man is riding a bike.
1501,A woman is playing the guitar.
1511,A man is eating a pizza.
1521,A man is playing guitar.
1531,The man is buttering the bread.
1541,A woman is hitting a man.
1551,Three men are dancing.
1561,A man is speaking.
1571,A man is dancing.
1581,A person is combing a cat hair.
1591,A man is playing the drums.
1601,A man is peeling a banana.
1611,A boy is riding a horse.
1621,The puppy tried to get out of the tub.
1631,A woman is peeling an onion.
1641,A person is mixing a pot of rice.
1651,A man is playing a guitar.
1661,A lion cub tries to climb a fence.
1671,A man is talking on a cell phone.
1681,A man is playing a guitar.
1691,Someone is pouring chicken broth into a pot.
1701,A woman is chopping an onion.
1711,The man is shaking hands with other men.
1721,A target is being hit with gun fire.
1731,A woman is applying makeup.
1741,A woman is slicing a big pepper.
1751,A man puts some cheese on a pizza.
1761,A man is staring at a leaf.
1771,A person is picking a komodo dragon and putting it in a box.
1781,A person drops a camera down an escelator.
1791,The man is playing the keyboards.
1801,A woman is applying eye shadow.
1811,A woman is playing the flute.
1821,A man is riding on a horse.
1831,A man is playing flute.
1841,A tiger is walking around his cage.
1851,A person pours cooking oil into a pot.
1861,A woman is cutting potato.
1871,A parrot is talking.
1881,A man is singing into a microphone.
1891,A woman is exercising.
1901,A child runs into and out of the ocean waves.
1911,A man is playing the piano.
1921,A guy is riding a horse.
1931,A dog is stealing food from a refrigerator.
1941,A person uses a blowtorch on two cameras.
1951,A man is putting a knife in a vice.
1961,A woman is cooking meat.
1971,A puppy is trying to come out from the sink.
1981,A person is folding a square paper piece.
1991,The boy is playing the piano.
2001,A man is cutting a potato.
2011,A woman is feeding a baby.
2021,A man is playing a guitar.
2031,A woman is mixing eggs.
2041,A man is riding on a boat.
2051,A man is serving cake.
2061,Someone is greating a carrot.
2071,A man is standing on a roof top playing a violin.
2081,A monkey is karate kicking a person.
2091,A man shappens a knife.
2101,A woman is brushing her feet.
2111,A woman is removing skin from some meat.
2121,A man is stirring ingredients in a bowl.
2131,A woman is relaxing in a bath tub.
2141,A woman is adding oil on fishes.
2151,A woman is writing something.
2161,A baby eats his food.
2171,A man is slicing a carrot by a machine.
2181,A man is playing a guitar and singing on a stage.
2191,A boy is playing a piano.
2201,The person is starting a fire.
2211,A woman is riding a horse on the beach.
2221,A person is chopping an herb.
2231,A woman is collecting tap water in a mug.
2241,A person is whisking eggs in a bowl.
2251,The dog could not figure out how to get a stick out the doggy door.
2261,A woman is mixing eggs in the bowl.
2271,The lady made some slices on the shrimp.
2281,Someone is mixing a liquid.
2291,A woman is slicing big pepper.
2301,The animal with the big eyes is eating.
2311,A baby is crawling happily.
2321,A tiger club is playing with a ball.
2331,A woman is slicing fruit.
2341,The flag was moving in the air.
2351,The baby laughed in his car seat.
2361,A dog knocks a boy into the water twice.
2371,The bird is taking a bath under the faucet.
2381,A man plays the guitar and sings.
2391,Women are holding each other and dancing together.
2401,The man is trying to feed the snake with a mouse.
2411,A tiger is playing with his trainer.
2421,A cat is playing with a watermelon on a floor.
2431,A cat retrieves an object out of a dish of water.
2441,A chef is slicing carrot.
2451,A woman is adding some mushrooms and liquid to a pot.
2461,A man is passionately playing a guitar in front of an audience.
2471,Someone drew on Washington's face on the dollar.
2481,The girl is slicing an onion.
2491,The man is aiming a gun.
2501,A cat standing on tree branches.
2511,The lamb is looking at the camera.
2521,A bull standing in the field.
2531,The black and white cows pause in front of the gate.
2541,A group of four people in a dinner having cake.
2551,A group of people eat at a table outside.
2561,Older man wearing beret with mountains in background.
2571,The cows feed in the trough.
2581,A small red and gray bird perched amongst the bare branches of a tree.
2591,A black and wood colored dining room set in a small apartment.
2601,A bag of cotton in front of a couch.
2611,Two horses standing in a field with trees in the background.
2621,Red double decker bus driving down a street.
2631,The lamb is looking at the camera.
2641,A red double decker bus on a crowded street.
2651,A jockey riding a horse in a pen.
2661,The udders of a dairy cow that is standing in a pasture near a large building.
2671,A woman posing by a pillar with a U2 sign.
2681,One Asian and one occasion woman in glasses smiling with their thumbs up.
2691,A black train moves down the tracks.
2701,The brown dog is resting his head on a white pillow.
2711,The black and brown cow is looking at the camera.
2721,A smiling woman holding a small baby.
2731,Two airplanes in the sky.
2741,A coal train traveling down the tracks.
2751,A cat looking at the camera.
2761,World news headlines displayed on a large screen.
2771,Two women posing with a baby.
2781,A red and white plane flying on a sunny day.
2791,A black and white photo of an old train station.
2801,A bicycle in front of some ruins.
2811,Red double decker bus on side of street.
2821,A bus drives down a busy road.
2831,An elderly Asian couple pose with a yawning baby at a dinner table.
2841,Brown and white ducks walking on green grass.
2851,People ride mopeds in an urban setting.
2861,Large silver locomotive engine in a shed.
2871,Two people sitting on a large motorcycle.
2881,A scantily clad woman is standing next to a car.
2891,Several televisions are on the floor and stacked up on top of one another.
2901,Sheep are grazing in a grassy field near a stand of trees.
2911,The small dog protects its owner.
2921,Children looking a sheep.
2931,A black-and-white photo of a loveseat.
2941,the back of a stop sign with many stickers on it.
2951,Living room or den with large screen television.
2961,Two women sitting in lawn chairs.
